x,y,class,unit_time,sequence_time,_id
-4.6339808,-32.797565,0,1515063600.0,1515063600.0,2115.0
-14.4452915,-25.05022,0,1542506400.0,1542506400.0,177444.0
-23.17284,-15.647925,0,1543316400.0,1543316400.0,182619.0
25.90278,-7.017806,0,1545307200.0,1545307200.0,195338.0
-14.140633,-11.417807,0,1523916000.0,1523916000.0,58672.0
24.558393,1.7830815,0,1543860000.0,1543860000.0,186092.0
-30.875996,-23.738237,0,1520773200.0,1520773200.0,38593.0
-15.4747,-19.781832,0,1543363200.0,1543363200.0,182918.0
-27.652273,-7.4430585,0,1517058000.0,1517058000.0,14857.0
-36.311172,-28.869608,0,1515855600.0,1515855600.0,7175.0
-19.909634,-17.18157,0,1543338000.0,1543338000.0,182757.0
-42.44631,-14.348875,0,1518069600.0,1518069600.0,21320.0
-17.313225,-9.333103,0,1523901600.0,1523901600.0,58580.0
-22.037285,-14.342298,0,1543305600.0,1543305600.0,182550.0
-28.60407,-7.3129177,0,1517054400.0,1517054400.0,14834.0
-0.67229044,-27.790361,0,1541847600.0,1541847600.0,173235.0
-6.600503,-26.441048,0,1541793600.0,1541793600.0,172890.0
-11.715344,-16.795979,0,1543435200.0,1543435200.0,183378.0
23.75424,2.2315443,0,1543856400.0,1543856400.0,186069.0
-31.028513,-22.811338,0,1520769600.0,1520769600.0,38570.0
-1.6385819,-12.518937,0,1543687200.0,1543687200.0,184988.0
27.577631,-4.896146,0,1545321600.0,1545321600.0,195430.0
-42.82003,-17.524757,0,1516006800.0,1516006800.0,8141.0
-19.989416,-28.723675,0,1541599200.0,1541599200.0,171648.0
-17.55246,-17.73936,0,1543348800.0,1543348800.0,182826.0
-27.799643,-11.881644,0,1517007600.0,1517007600.0,14535.0
-42.07532,-21.26158,0,1516021200.0,1516021200.0,8233.0
-24.574696,-27.913038,0,1541530800.0,1541530800.0,171211.0
20.765326,1.9919816,0,1543842000.0,1543842000.0,185977.0
-19.872976,-13.590204,0,1543294800.0,1543294800.0,182481.0
-29.329271,-24.819849,0,1520784000.0,1520784000.0,38662.0
6.4735737,4.5052066,0,1543942800.0,1543942800.0,186621.0
7.161249,-34.72345,0,1545742800.0,1545742800.0,198121.0
-36.17488,-17.468002,0,1515916800.0,1515916800.0,7566.0
-10.254934,-40.963093,0,1516435200.0,1516435200.0,10878.0
-21.427067,-13.884005,0,1543302000.0,1543302000.0,182527.0
-29.596323,-11.596981,0,1517018400.0,1517018400.0,14604.0
9.62433,7.8315787,0,1543921200.0,1543921200.0,186483.0
17.841791,-15.036339,0,1519905600.0,1519905600.0,33050.0
-42.661278,-18.460344,0,1516010400.0,1516010400.0,8164.0
-32.7767,-23.823772,0,1520593200.0,1520593200.0,37443.0
3.6164374,-10.247626,0,1543989600.0,1543989600.0,186920.0
7.696061,5.932547,0,1543932000.0,1543932000.0,186552.0
-2.4568048,-10.540322,0,1544036400.0,1544036400.0,187219.0
-41.96685,-22.30159,0,1516024800.0,1516024800.0,8256.0
-22.14698,-12.221588,0,1543114800.0,1543114800.0,181331.0
-20.36407,-23.813025,0,1543212000.0,1543212000.0,181952.0
0.58489126,-27.811825,0,1541840400.0,1541840400.0,173189.0
-33.852394,-15.46648,0,1515906000.0,1515906000.0,7497.0
-31.356127,-22.084806,0,1520766000.0,1520766000.0,38547.0
-15.417447,-19.069214,0,1543359600.0,1543359600.0,182895.0
-19.66616,-22.174429,0,1543222800.0,1543222800.0,182021.0
-35.43079,-14.3899355,0,1518159600.0,1518159600.0,21895.0
1.9602194,-4.0282893,0,1541934000.0,1541934000.0,173787.0
22.164114,2.9018233,0,1543849200.0,1543849200.0,186023.0
-10.098311,-10.514496,0,1518868800.0,1518868800.0,26426.0
-14.673478,-26.33557,0,1542520800.0,1542520800.0,177536.0
-23.15692,-11.813341,0,1543100400.0,1543100400.0,181239.0
-34.53826,-15.734375,0,1515909600.0,1515909600.0,7520.0
-42.771812,-16.100471,0,1515999600.0,1515999600.0,8095.0
-37.41275,-20.2112,0,1515927600.0,1515927600.0,7635.0
8.9429655,7.405659,0,1543924800.0,1543924800.0,186506.0
-18.442518,-27.215096,0,1541588400.0,1541588400.0,171579.0
-19.070734,-27.757866,0,1541592000.0,1541592000.0,171602.0
28.871264,33.63899,0,1533294000.0,1533294000.0,118587.0
-37.74284,-23.809858,0,1515942000.0,1515942000.0,7727.0
-14.046674,-38.159206,0,1516399200.0,1516399200.0,10648.0
-7.019455,-26.202354,0,1541797200.0,1541797200.0,172913.0
1.4824272,-4.618479,0,1541937600.0,1541937600.0,173810.0
-14.480824,-36.755753,0,1516392000.0,1516392000.0,10602.0
-17.461918,-38.96198,0,1516352400.0,1516352400.0,10349.0
-37.460617,-21.084156,0,1515931200.0,1515931200.0,7658.0
26.306852,-7.96392,0,1545303600.0,1545303600.0,195315.0
-24.997904,-6.8109813,0,1517068800.0,1517068800.0,14926.0
-3.1481028,-34.17091,0,1515074400.0,1515074400.0,2184.0
-35.46106,-16.575987,0,1515913200.0,1515913200.0,7543.0
3.5969226,-10.228614,0,1543986000.0,1543986000.0,186897.0
-14.147696,23.691456,0,1540796400.0,1540796400.0,166519.0
-30.662064,-24.526516,0,1520776800.0,1520776800.0,38616.0
25.40172,-8.16841,0,1545300000.0,1545300000.0,195292.0
-35.736797,-29.432476,0,1515859200.0,1515859200.0,7198.0
-18.441536,-17.582563,0,1543345200.0,1543345200.0,182803.0
-15.95633,-18.391224,0,1543356000.0,1543356000.0,182872.0
-23.308908,-17.09061,0,1543323600.0,1543323600.0,182665.0
5.9516964,-3.60675,0,1544083200.0,1544083200.0,187518.0
20.132874,1.8846837,0,1543838400.0,1543838400.0,185954.0
-14.663002,-15.466291,0,1543258800.0,1543258800.0,182251.0
-14.20705,-37.53496,0,1516395600.0,1516395600.0,10625.0
-20.657299,-13.516851,0,1543298400.0,1543298400.0,182504.0
30.920094,1.1787722,0,1536253200.0,1536253200.0,137493.0
-35.16386,-30.788353,0,1515866400.0,1515866400.0,7244.0
-22.004862,-35.59803,0,1516312800.0,1516312800.0,10096.0
-20.11038,-21.479994,0,1543226400.0,1543226400.0,182044.0
-28.271965,-12.305126,0,1517011200.0,1517011200.0,14558.0
-29.957756,-24.777975,0,1520780400.0,1520780400.0,38639.0
-17.816881,-28.86416,0,1541581200.0,1541581200.0,171533.0
-17.020771,-21.34391,0,1543374000.0,1543374000.0,182987.0
-4.225017,-33.13229,0,1515067200.0,1515067200.0,2138.0
-22.234308,-34.989883,0,1516309200.0,1516309200.0,10073.0
-3.1003807,-35.084072,0,1515078000.0,1515078000.0,2207.0
-11.233316,-36.173126,0,1514926800.0,1514926800.0,1241.0
-42.843975,-16.707981,0,1516003200.0,1516003200.0,8118.0
27.414183,-6.1072583,0,1545314400.0,1545314400.0,195384.0
24.566376,-9.481447,0,1545289200.0,1545289200.0,195223.0
-2.0179539,-36.222137,0,1515085200.0,1515085200.0,2253.0
6.831183,5.065631,0,1543939200.0,1543939200.0,186598.0
-10.320595,-29.638706,0,1515009600.0,1515009600.0,1770.0
-18.433615,-13.781945,0,1543287600.0,1543287600.0,182435.0
-3.3428845,-42.868546,0,1545044400.0,1545044400.0,193659.0
-35.82023,-28.353558,0,1515852000.0,1515852000.0,7152.0
-23.535086,5.6125054,1,1545948000.0,1545948000.0,199432.0
-2.1108196,13.892771,1,1540249200.0,1540249200.0,163023.0
29.555622,18.944107,1,1535904000.0,1535904000.0,135262.0
8.90379,14.441988,1,1536170400.0,1536170400.0,136964.0
-0.4399367,12.98759,1,1536368400.0,1536368400.0,138229.0
4.647194,-23.542603,1,1525878000.0,1525878000.0,71207.0
-20.984724,5.618427,1,1544752800.0,1544752800.0,191796.0
8.1099205,-12.20516,1,1539572400.0,1539572400.0,158699.0
26.441332,33.81827,1,1530334800.0,1530334800.0,99681.0
36.160305,14.111386,1,1535612400.0,1535612400.0,133399.0
-13.352093,28.859869,1,1540591200.0,1540591200.0,165208.0
10.955328,17.347261,1,1536184800.0,1536184800.0,137056.0
-28.991684,13.723084,1,1517720400.0,1517720400.0,19089.0
37.70006,18.32506,1,1535554800.0,1535554800.0,133031.0
33.337456,16.352747,1,1535727600.0,1535727600.0,134135.0
30.036295,3.2066426,1,1526050800.0,1526050800.0,72311.0
5.114413,-19.92468,1,1525975200.0,1525975200.0,71828.0
-1.3289982,7.8512883,1,1536472800.0,1536472800.0,138896.0
15.232563,-11.915508,1,1524254400.0,1524254400.0,60834.0
29.733204,3.7167,1,1526054400.0,1526054400.0,72334.0
10.274189,-5.694315,1,1520974800.0,1520974800.0,39881.0
24.533186,14.668988,1,1527094800.0,1527094800.0,78981.0
-5.732634,-21.967417,1,1539846000.0,1539846000.0,160447.0
-14.333834,15.174089,1,1538236800.0,1538236800.0,150166.0
-5.80428,-30.894436,1,1516809600.0,1516809600.0,13270.0
32.008617,22.942251,1,1526130000.0,1526130000.0,72817.0
27.211092,37.88842,1,1530644400.0,1530644400.0,101659.0
-3.034664,-18.897285,1,1540310400.0,1540310400.0,163414.0
33.82779,14.812493,1,1535695200.0,1535695200.0,133928.0
4.859725,-17.485085,1,1542301200.0,1542301200.0,176133.0
4.3579755,-20.391172,1,1525968000.0,1525968000.0,71782.0
30.44138,8.529811,1,1526079600.0,1526079600.0,72495.0
-6.666739,1.3032758,1,1540281600.0,1540281600.0,163230.0
-10.743333,29.363466,1,1538787600.0,1538787600.0,153685.0
22.628662,17.600815,1,1533427200.0,1533427200.0,119438.0
36.401817,18.92611,1,1535511600.0,1535511600.0,132755.0
14.935167,-8.694145,1,1543723200.0,1543723200.0,185218.0
33.756393,-17.320473,1,1544112000.0,1544112000.0,187702.0
-15.915548,24.781258,1,1540958400.0,1540958400.0,167554.0
24.385347,8.686352,1,1524420000.0,1524420000.0,61892.0
2.3881755,-13.377856,1,1519182000.0,1519182000.0,28427.0
29.182497,39.66358,1,1529366400.0,1529366400.0,93494.0
-14.711629,24.012686,1,1540882800.0,1540882800.0,167071.0
34.026264,38.093987,1,1529337600.0,1529337600.0,93310.0
5.411107,25.614841,1,1545444000.0,1545444000.0,196212.0
-10.6108885,31.073822,1,1540695600.0,1540695600.0,165875.0
25.00827,35.96754,1,1530500400.0,1530500400.0,100739.0
-7.4479775,9.104932,1,1536400800.0,1536400800.0,138436.0
19.19678,7.971866,1,1522821600.0,1522821600.0,51680.0
8.478609,20.489822,1,1519002000.0,1519002000.0,27277.0
-0.8334553,13.45915,1,1536357600.0,1536357600.0,138160.0
11.428863,-22.652758,1,1528758000.0,1528758000.0,89607.0
-22.283056,10.382058,1,1544990400.0,1544990400.0,193314.0
-6.2579503,-12.392057,1,1518912000.0,1518912000.0,26702.0
10.029023,-24.4432,1,1525816800.0,1525816800.0,70816.0
6.5352874,-17.2892,1,1539543600.0,1539543600.0,158515.0
-25.48289,23.46147,1,1518393600.0,1518393600.0,23390.0
-1.9249256,26.388035,1,1535162400.0,1535162400.0,130524.0
5.298726,-17.113558,1,1542308400.0,1542308400.0,176179.0
26.878841,33.69579,1,1530338400.0,1530338400.0,99704.0
29.729975,16.846672,1,1535767200.0,1535767200.0,134388.0
-23.123047,20.897688,1,1521666000.0,1521666000.0,44297.0
-4.58508,-26.01401,1,1541088000.0,1541088000.0,168382.0
